"id","question","r1","r2","r3","r4","br"
"0","Combien de sièges le Conseil fédéral a-t-il ?","246","200","46","7","r4"
"1","Que signifie 'prosélytisme' ?","Fait pour un homme de pouvoir se marier avec plusieurs femmes.","Zèle ardent pour recruter des adeptes, pour tenter d'imposer ses idées.","Opinion contraire aux vues communément admises.","Haine féroce pour toutes les innovations.","r2"
"2","La Suisse étant un pays néolibéral, dans quel domaine politique a-t-elle une attitude très réglementaire et interventionniste ?","L'agriculture","L'économie des finances et de l'industrie","La santé","La défense","r1"
"3","Quel est le dernier canton suisse, créé en 1979 ?","Tessin","Obwald","Shwytz","Jura","r4"
"4","Qui a écrit « Le dernier jour d’un condamné ?","Guy de Maupassant","simone de Beauvoir","Jean-Paul Sartre","Victor Hugo","r4"
"5","En trigonométrie, comment sont appelé les côtés d’un triangle rectangle ?","L’adjacent, l’opposé, et l’hypoméduse","L’adjacent, l’opposé et l’hypothénuse","Les cathètes et l’hypothénuse","L’à côté, l’éloigné, et la diagonale","r2"
"6"," Quelle est la superficie de la Suisse?","45'500 km carré","38.750 km carré","41'277 km carré","50'258 km carré","r3"
"7","Lequel de ces régimes matrimoniaux est attribué de base lors d’un mariage en Suisse ?","La communauté des biens","La participation aux acquêts","La séparation des biens","La participation aux biens","r2"
"8","Quel nom donne-t-on au deuxième élément d’une division ?","Le diviseur","Le quotient","le deuxième terme","le dividende","r1"
"9","Dans quel ordre se déroulent les épreuves du triathlon ?","Le cyclisme, la natation, la course à pied","La natation, le cyclisme, la course à pied","La course à pied, le cyclisme, la natation","La natation, le course à pied, le cyclisme","r2"
"10","Quel est le plus haut sommet de Suisse ?","le Cervin","Le Moléson","la point Dufour","la Jungfrau","r3"
"11","Honolulu est la capitale de quel pays?","Hawaï","Australie","Inde","Togo","r1"
"12","Quelle est la capitale de l'Australie?","Sidney","Melbourne","Adelaïde","Canberra","r4"
"13","Quel est la langue la plus parlée au monde ?","Espagnole","Anglais","Chinois","Arabe","r3"
"14","Quel est le nom du deuxième homme à avoir marché sur la lune en 1969 ?","Neil Amstrong","Buzz Aldrin","Alan Bean","David Scott","r2"
"15"," Qui est le president du conseil fédéral en 2019 ?","Ueli Maurer","Ignazio Cassis","Alain Berset","Simonetta Sommaruga","r1"
"16"," Combien de temps a règné Louis XVI sur la France ?","20 ans et 1 mois","25 ans et 2 mois","18 ans et 3 mois","10 ans et 4 mois","r3"
"17","Quelle est la hauteur de la tour Bourj Khalifa  ?","828 m","915 m","785","1000","r1"
"18","En quelle année a débuté la construction de la tour Eiffel ?","1884","1885","1886","1887","r4"
"19","Quelle est l'année de lancement de Facebook ?","2002","2003","2004","2005","r3"
"20","Qui a inventé le velcro ?","Claude Boucher","Geroges de mestral","Clement Ader"," Emile Belot","r2"
"21","Qui a chanté 'Le lundi au soleil' ?","Gilbert Montagné","Freddie Mercury","Michel Fugain","Claude Francois","r4"
